ID,originalMoleculeSMILES,deglycosylatedMoleculeSMILES,hadOrHasSugars,SugarMoietySMILES
TPCN01494,C=C1C(=O)OC2CC3(C)OC3CCC3(C)OC3CC12,C=C1C(=O)OC2CC3(C)OC3CCC3(C)OC3CC12,false,[]
TPCN01495,C=C(C)C(=O)OC1C2C(CC(C)C3C=CC(=O)C31C)OC(=O)C2C,C=C(C)C(=O)OC1C2C(CC(C)C3C=CC(=O)C31C)OC(=O)C2C,false,[]
TPCN01496,CC(C)=C1CCC(C)C(C)(COc2ccc3ccc(=O)oc3c2)C1CCCO,CC(C)=C1CCC(C)C(C)(COc2ccc3ccc(=O)oc3c2)C1CCCO,false,[]
TPCN01497,CC1=CCCC2(C)CC3(O)OC(=O)C(C)=C3CC12,CC1=CCCC2(C)CC3(O)OC(=O)C(C)=C3CC12,false,[]
TPCN01498,C=C(C(=O)O)C1CCC2(C)CCCC(=C)C2(O)C1,C=C(C(=O)O)C1CCC2(C)CCCC(=C)C2(O)C1,false,[]
TPCN01499,C=C1CC(O)C2C(COC)C(=O)OC2C2C(=C)C(O)CC12,C=C1CC(O)C2C(COC)C(=O)OC2C2C(=C)C(O)CC12,false,[]
TPCN01500,C=C1C(=O)OC2C1C(OC(=O)C(C)(O)C(C)OC(C)=O)CC1(C)C(O)CC=C(C)C21,C=C1C(=O)OC2C1C(OC(=O)C(C)(O)C(C)OC(C)=O)CC1(C)C(O)CC=C(C)C21,false,[]
TPCN01501,C=C(CO)C1CC(=O)C2CCC(OC3OC(CO)C(O)C(O)C3O)C(C)C2(C)C1,C=C(CO)C1CC(=O)C2CCC(O)C(C)C2(C)C1,true,['O1[CH][CH][CH][CH][CH]1']
TPCN01502,CC(C)(OC1OC(CO)C(O)C(O)C1O)C1Cc2cc3ccc(=O)oc3cc2O1,CC(C)(O)C1Cc2cc3ccc(=O)oc3cc2O1,true,['O1[CH][CH][CH][CH][CH]1']
TPCN01503,CC(=O)OC1CCC(C)C23OC(C)(C)C(CC(OC(=O)c4ccoc4)C12C)C3OC(=O)c1ccccc1,CC(=O)OC1CCC(C)C23OC(C)(C)C(CC(OC(=O)c4ccoc4)C12C)C3OC(=O)c1ccccc1,false,[]
TPCN01504,C=CC12COC(=O)C(=C)C1C1OC(=O)C(=C)C1C(OC(=O)C(=C)COCC)C2,C=CC12COC(=O)C(=C)C1C1OC(=O)C(=C)C1C(OC(=O)C(=C)COCC)C2,false,[]
TPCN01505,C=C1C(=O)OC2C1CCC1(C)OC13CC1OC1(C)C23,C=C1C(=O)OC2C1CCC1(C)OC13CC1OC1(C)C23,false,[]
TPCN01506,C=C1C(=O)OC2C1C(OC(C)=O)CC(C)(O)C1=CC(O)C(C)(O)C12,C=C1C(=O)OC2C1C(OC(C)=O)CC(C)(O)C1=CC(O)C(C)(O)C12,false,[]
