Family,Counts,Percentages(%),Min,Max,Mean,Median,Content(%)
Symplocaceae,22,0.34,8.2e-05,0.002833,0.0005986000000000002,0.000483,8.2e-05~0.002833
Salicaceae,22,0.34,2.9e-05,0.023,0.0013136818181818182,0.0001195,2.9e-05~0.023
Orobanchaceae,22,0.34,4.4e-05,0.00428,0.0012250454545454548,0.0005600000000000001,4.4e-05~0.00428
Buxaceae,22,0.34,1.2e-05,0.002857,0.00032981818181818177,0.0002,1.2e-05~0.002857
Balsaminaceae,21,0.33,8e-05,0.002424,0.0004954761904761907,0.00032,8e-05~0.002424
Taxaceae,20,0.31,8e-06,0.00224,0.00019419999999999995,6.45e-05,8e-06~0.00224
Magnoliaceae,19,0.3,4e-05,0.04,0.0024653000000000006,0.000267,4e-05~0.04
Iridaceae,19,0.3,4e-06,0.0025,0.00045345000000000004,2.65e-05,4e-06~0.0025
Pittosporaceae,18,0.28,0.000443,0.479705,0.03327789473684211,0.002231,0.000443~0.479705
Oleaceae,17,0.27,0.0001,0.380753,0.030408176470588216,0.00085,0.0001~0.380753
